,brands,influencers
9744,54563128,99998943
9747,72973314,84334062
9755,32174996,72275540
9759,95648291,55540422
9761,46059386,50879358
9763,15380822,48145833
9779,15380822,48145833
9781,98263717,41800731
9783,42601852,27463370
9793,68972607,9758321
9798,62643916,10221658
9808,12764426,73154659
9822,20750057,15877797
9825,87366910,64987211
9831,41100928,2159428
9833,90733089,43368452
9836,30105188,10316221
9837,37280192,40101570
9839,79953595,22024249
9848,87366910,52662737
9854,53942385,53741222
9856,62643916,44295669
9861,88252356,9052457
9902,83914932,27975865
9905,72973314,21600575
9906,42601852,20530620
9910,64712870,11963562
9928,69280657,73642487
